,lh.white_volume,lh.gm_volume,rh.white_volume,rh.gm_volume,lh.mean_thickness_direct,lh.sd_thickness_direct,rh.mean_thickness_direct,rh.sd_thickness_direct,lh.mean_thickness_fs,lh.sd_thickness_fs,rh.mean_thickness_fs,rh.sd_thickness_fs
HP1,86890.07,120337.57,88970.52,120921.23,6.02,3.37,6.61,3.48,3.11,1.71,3.34,1.72
deer,25255.59,52570.43,26227.04,52443.69,4.58,2.39,4.61,2.33,2.30,1.23,2.40,1.20
sealion,94947.14,131793.32,94303.01,131648.60,6.19,3.02,6.35,3.05,3.92,1.54,4.09,1.55
PWSD1,227780.67,251718.80,232801.39,258359.11,5.78,3.42,5.97,3.41,2.93,1.59,3.02,1.51
BBW49,1045404.08,680027.72,1055045.38,736837.10,3.20,2.62,3.57,2.49,1.75,1.22,2.01,1.12
raccoon,4073.84,10455.54,4153.32,10914.75,4.28,2.11,4.36,2.10,2.56,1.06,2.74,1.01
sotalia,84394.51,139974.53,93965.62,157120.32,3.43,1.57,4.02,1.51,1.84,0.92,2.19,0.87
pontoporia,,,26021.63,48276.76,,,3.80,2.04,,,1.86,0.95
raccoon2,3943.44,10369.73,4156.56,10587.04,3.96,2.14,4.11,2.15,2.30,0.98,2.42,1.04
seal4,36241.09,54860.33,38878.06,56792.23,5.80,2.99,5.29,3.13,3.42,1.65,3.13,1.77
bear4,45478.35,53988.16,44723.77,55621.09,5.50,2.91,5.65,3.05,3.51,1.55,3.48,1.60
seal5,32492.33,52569.02,33165.03,51794.92,6.22,2.74,6.09,2.73,3.68,1.47,3.58,1.46
human,237481.00,238986.00,232351.00,236711.00,4.42,2.07,4.38,2.23,2.97,1.08,2.90,1.17
