,lh.white_volume,lh.pial_volume,lh.gm_volume,lh.exp_volume,lh.convex_volume,rh.white_volume,rh.pial_volume,rh.gm_volume,rh.exp_volume,rh.convex_volume,lh.white_surface,lh.pial_surface,lh.exp_surface,lh.convex_surface,rh.white_surface,rh.pial_surface,rh.exp_surface,rh.convex_surface,lh.mean_thickness,rh.mean_thickness
porpoise,86323.67,204448.18,118124.52,228276.45,242848.34,88276.48,213621.14,125344.66,227279.14,240655.22,47428.88,35445.04,20571.94,20332.63,47827.64,32806.40,19900.38,19888.05,3.33,3.82
deer,25262.80,72527.34,47264.54,93899.11,93427.58,26209.45,73878.11,47668.66,94165.35,93977.59,19410.25,19244.10,12815.65,11547.23,19477.57,18592.78,12760.68,11527.11,2.46,2.56
sealion,94582.36,230001.54,135419.18,303315.54,277553.74,93770.95,230783.31,137012.36,298650.40,275267.09,38375.42,32470.55,26336.19,23511.81,37695.94,31673.35,25788.92,23400.95,4.17,4.33
PWSD1,226896.97,483880.67,256983.70,586558.23,562310.73,230979.65,496454.41,265474.76,597144.25,574724.29,106693.68,73882.99,37732.59,35358.17,107089.27,73181.78,38217.79,35801.22,3.48,3.63
BBW49,1075203.99,1665932.96,590728.98,2202674.79,2233308.81,1074270.00,1777648.16,703378.16,2251457.97,2278829.16,316481.62,320917.09,96743.10,87104.31,310383.41,322092.85,95922.24,87924.82,1.84,2.18
raccoon,3986.44,14625.28,10638.83,17016.32,16785.30,4036.35,15281.86,11245.51,17458.53,17342.10,4271.33,4346.95,3646.64,3578.15,4315.51,4298.54,3726.36,3682.83,2.45,2.62
sotalia,84744.66,200884.09,116139.44,294235.59,259995.88,93620.62,228940.60,135319.98,317954.86,285279.26,63825.83,56726.07,25293.47,21104.23,63687.44,55688.83,25715.14,22588.91,2.05,2.43
pontoporia,,,,,,26039.73,67909.47,41869.74,86477.13,85292.13,,,,,20327.07,19516.89,11430.32,10313.81,,2.15
raccoon2,3856.21,14456.54,10600.34,17120.82,17750.53,4056.03,14843.68,10787.65,17585.96,17788.62,4195.54,4561.91,3770.84,3771.01,4247.62,4617.61,3776.91,3767.07,2.32,2.34
seal4,36283.95,92820.91,56536.95,104028.80,115045.46,39583.89,95422.76,55838.87,111548.34,118701.82,17459.68,16519.29,12716.92,12820.95,18960.05,17428.23,13454.87,12951.45,3.42,3.20
bear4,45621.66,102028.05,56406.39,111593.00,120415.88,44844.97,101436.20,56591.23,114333.19,120310.22,18323.02,16363.73,13312.63,13307.34,18272.84,15884.94,13362.00,13212.70,3.45,3.56
seal5,33010.47,87065.40,54054.93,97129.72,103751.32,33188.65,86424.64,53235.99,97232.98,104765.62,14967.31,14617.40,11992.08,11967.31,14784.68,14595.35,12473.85,12071.65,3.70,3.65
human,233846.34,497552.42,263706.08,632274.73,633821.57,228843.60,480152.29,251308.69,631294.09,622381.29,79763.04,84588.84,43804.23,41725.39,76655.42,82301.45,44046.47,41246.36,3.12,3.05
